region,boligtype,statistikkvariabel,kvartal,value
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2015K3,101.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2015K4,99.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2016K1,102.8
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2016K2,107.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2016K3,109.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2016K4,109.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2017K1,113.2
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2017K2,114.5
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2017K3,111.8
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2017K4,109.9
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2018K1,112.0
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2018K2,116.4
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2018K3,115.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2018K4,112.4
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2019K1,115.4
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2019K2,118.7
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2019K3,117.8
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2019K4,115.3
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2020K1,117.6
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2020K2,121.4
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2020K3,123.1
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2020K4,123.5
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2021K1,130.4
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2021K2,136.6
Hele landet,Boliger i alt,Prisindeks for brukte boliger,2021K3,136.1
